dateRep,day,month,year,cases,deaths,countriesAndTerritories
01/12/2020,1,12,2020,557,12,Albania
30/11/2020,30,11,2020,835,11,Albania
29/11/2020,29,11,2020,545,16,Albania
28/11/2020,28,11,2020,645,18,Albania
27/11/2020,27,11,2020,656,10,Albania
26/11/2020,26,11,2020,644,8,Albania
25/11/2020,25,11,2020,744,19,Albania
24/11/2020,24,11,2020,795,17,Albania
23/11/2020,23,11,2020,565,14,Albania
22/11/2020,22,11,2020,737,13,Albania
21/11/2020,21,11,2020,836,15,Albania
20/11/2020,20,11,2020,786,11,Albania
19/11/2020,19,11,2020,711,9,Albania
18/11/2020,18,11,2020,694,6,Albania
17/11/2020,17,11,2020,602,8,Albania
16/11/2020,16,11,2020,597,11,Albania
15/11/2020,15,11,2020,532,7,Albania
14/11/2020,14,11,2020,490,7,Albania
13/11/2020,13,11,2020,410,8,Albania
12/11/2020,12,11,2020,507,11,Albania
11/11/2020,11,11,2020,563,8,Albania
10/11/2020,10,11,2020,525,12,Albania
09/11/2020,9,11,2020,501,2,Albania
08/11/2020,8,11,2020,495,8,Albania
07/11/2020,7,11,2020,489,6,Albania
06/11/2020,6,11,2020,421,7,Albania
05/11/2020,5,11,2020,396,4,Albania
04/11/2020,4,11,2020,381,5,Albania
03/11/2020,3,11,2020,321,9,Albania
02/11/2020,2,11,2020,327,9,Albania
01/11/2020,1,11,2020,241,7,Albania
31/10/2020,31,10,2020,319,3,Albania
30/10/2020,30,10,2020,275,6,Albania
29/10/2020,29,10,2020,311,6,Albania
28/10/2020,28,10,2020,284,7,Albania
27/10/2020,27,10,2020,288,3,Albania
26/10/2020,26,10,2020,299,4,Albania
25/10/2020,25,10,2020,302,4,Albania
24/10/2020,24,10,2020,306,4,Albania
23/10/2020,23,10,2020,302,3,Albania
22/10/2020,22,10,2020,297,4,Albania
21/10/2020,21,10,2020,301,4,Albania
20/10/2020,20,10,2020,295,3,Albania
19/10/2020,19,10,2020,281,3,Albania
18/10/2020,18,10,2020,273,5,Albania
17/10/2020,17,10,2020,289,4,Albania
16/10/2020,16,10,2020,257,5,Albania
15/10/2020,15,10,2020,203,5,Albania
14/10/2020,14,10,2020,182,5,Albania
13/10/2020,13,10,2020,171,4,Albania
12/10/2020,12,10,2020,168,4,Albania
11/10/2020,11,10,2020,165,3,Albania
10/10/2020,10,10,2020,167,2,Albania
09/10/2020,9,10,2020,169,4,Albania
08/10/2020,8,10,2020,162,4,Albania
07/10/2020,7,10,2020,158,3,Albania
06/10/2020,6,10,2020,144,4,Albania
05/10/2020,5,10,2020,149,4,Albania
04/10/2020,4,10,2020,152,3,Albania
03/10/2020,3,10,2020,159,1,Albania
02/10/2020,2,10,2020,157,1,Albania
01/10/2020,1,10,2020,131,3,Albania
30/09/2020,30,9,2020,127,4,Albania
29/09/2020,29,9,2020,132,3,Albania
28/09/2020,28,9,2020,106,2,Albania
27/09/2020,27,9,2020,108,2,Albania
26/09/2020,26,9,2020,124,3,Albania
25/09/2020,25,9,2020,134,0,Albania
24/09/2020,24,9,2020,121,3,Albania
23/09/2020,23,9,2020,131,3,Albania
22/09/2020,22,9,2020,150,2,Albania
21/09/2020,21,9,2020,159,4,Albania
20/09/2020,20,9,2020,153,5,Albania
19/09/2020,19,9,2020,125,5,Albania
18/09/2020,18,9,2020,132,5,Albania
17/09/2020,17,9,2020,144,3,Albania
16/09/2020,16,9,2020,152,2,Albania
15/09/2020,15,9,2020,167,4,Albania
14/09/2020,14,9,2020,168,4,Albania
13/09/2020,13,9,2020,164,3,Albania
12/09/2020,12,9,2020,161,3,Albania
11/09/2020,11,9,2020,156,2,Albania
10/09/2020,10,9,2020,151,1,Albania
09/09/2020,9,9,2020,147,2,Albania
08/09/2020,8,9,2020,151,3,Albania
07/09/2020,7,9,2020,153,4,Albania
06/09/2020,6,9,2020,135,6,Albania
05/09/2020,5,9,2020,123,5,Albania
04/09/2020,4,9,2020,116,5,Albania
03/09/2020,3,9,2020,122,6,Albania
02/09/2020,2,9,2020,93,6,Albania
01/09/2020,1,9,2020,133,4,Albania
31/08/2020,31,8,2020,101,5,Albania
30/08/2020,30,8,2020,84,4,Albania
29/08/2020,29,8,2020,112,5,Albania
28/08/2020,28,8,2020,156,3,Albania
27/08/2020,27,8,2020,168,4,Albania
26/08/2020,26,8,2020,154,5,Albania
25/08/2020,25,8,2020,178,4,Albania
24/08/2020,24,8,2020,152,5,Albania
23/08/2020,23,8,2020,156,5,Albania
22/08/2020,22,8,2020,152,2,Albania
21/08/2020,21,8,2020,155,4,Albania
20/08/2020,20,8,2020,158,2,Albania
19/08/2020,19,8,2020,155,2,Albania
18/08/2020,18,8,2020,119,2,Albania
17/08/2020,17,8,2020,120,3,Albania
16/08/2020,16,8,2020,143,6,Albania
15/08/2020,15,8,2020,146,6,Albania
14/08/2020,14,8,2020,154,5,Albania
13/08/2020,13,8,2020,141,3,Albania
12/08/2020,12,8,2020,140,5,Albania
11/08/2020,11,8,2020,125,1,Albania
10/08/2020,10,8,2020,136,6,Albania
09/08/2020,9,8,2020,124,4,Albania
08/08/2020,8,8,2020,135,1,Albania
07/08/2020,7,8,2020,127,6,Albania
06/08/2020,6,8,2020,139,6,Albania
05/08/2020,5,8,2020,130,4,Albania
04/08/2020,4,8,2020,101,6,Albania
03/08/2020,3,8,2020,123,5,Albania
02/08/2020,2,8,2020,120,4,Albania
01/08/2020,1,8,2020,79,3,Albania
31/07/2020,31,7,2020,92,4,Albania
30/07/2020,30,7,2020,108,2,Albania
29/07/2020,29,7,2020,117,4,Albania
28/07/2020,28,7,2020,117,6,Albania
27/07/2020,27,7,2020,126,4,Albania
26/07/2020,26,7,2020,67,6,Albania
25/07/2020,25,7,2020,104,5,Albania
24/07/2020,24,7,2020,108,3,Albania
23/07/2020,23,7,2020,68,3,Albania
22/07/2020,22,7,2020,119,4,Albania
21/07/2020,21,7,2020,81,1,Albania
20/07/2020,20,7,2020,82,1,Albania
19/07/2020,19,7,2020,102,4,Albania
18/07/2020,18,7,2020,55,3,Albania
17/07/2020,17,7,2020,99,3,Albania
16/07/2020,16,7,2020,85,4,Albania
15/07/2020,15,7,2020,96,2,Albania
14/07/2020,14,7,2020,117,2,Albania
13/07/2020,13,7,2020,83,4,Albania
12/07/2020,12,7,2020,93,4,Albania
11/07/2020,11,7,2020,90,2,Albania
10/07/2020,10,7,2020,82,0,Albania
09/07/2020,9,7,2020,68,2,Albania
08/07/2020,8,7,2020,74,2,Albania
07/07/2020,7,7,2020,71,3,Albania
06/07/2020,6,7,2020,74,2,Albania
05/07/2020,5,7,2020,67,2,Albania
04/07/2020,4,7,2020,90,3,Albania
03/07/2020,3,7,2020,82,4,Albania
02/07/2020,2,7,2020,45,3,Albania
01/07/2020,1,7,2020,69,4,Albania
30/06/2020,30,6,2020,64,3,Albania
29/06/2020,29,6,2020,72,2,Albania
28/06/2020,28,6,2020,61,2,Albania
27/06/2020,27,6,2020,77,2,Albania
26/06/2020,26,6,2020,78,2,Albania
25/06/2020,25,6,2020,67,2,Albania
24/06/2020,24,6,2020,52,1,Albania
23/06/2020,23,6,2020,68,0,Albania
22/06/2020,22,6,2020,36,1,Albania
21/06/2020,21,6,2020,53,1,Albania
20/06/2020,20,6,2020,50,3,Albania
19/06/2020,19,6,2020,66,1,Albania
18/06/2020,18,6,2020,50,1,Albania
17/06/2020,17,6,2020,82,1,Albania
16/06/2020,16,6,2020,69,0,Albania
15/06/2020,15,6,2020,57,0,Albania
14/06/2020,14,6,2020,48,0,Albania
13/06/2020,13,6,2020,31,1,Albania
12/06/2020,12,6,2020,44,1,Albania
11/06/2020,11,6,2020,42,0,Albania
10/06/2020,10,6,2020,36,0,Albania
09/06/2020,9,6,2020,17,0,Albania
08/06/2020,8,6,2020,14,0,Albania
07/06/2020,7,6,2020,20,1,Albania
06/06/2020,6,6,2020,15,0,Albania
05/06/2020,5,6,2020,13,0,Albania
04/06/2020,4,6,2020,20,0,Albania
03/06/2020,3,6,2020,21,0,Albania
02/06/2020,2,6,2020,6,0,Albania
01/06/2020,1,6,2020,15,0,Albania
31/05/2020,31,5,2020,23,0,Albania
30/05/2020,30,5,2020,23,0,Albania
29/05/2020,29,5,2020,26,0,Albania
28/05/2020,28,5,2020,21,0,Albania
27/05/2020,27,5,2020,25,1,Albania
26/05/2020,26,5,2020,6,0,Albania
25/05/2020,25,5,2020,9,1,Albania
24/05/2020,24,5,2020,8,0,Albania
23/05/2020,23,5,2020,12,0,Albania
22/05/2020,22,5,2020,5,0,Albania
21/05/2020,21,5,2020,15,0,Albania
20/05/2020,20,5,2020,1,0,Albania
19/05/2020,19,5,2020,2,0,Albania
18/05/2020,18,5,2020,13,0,Albania
17/05/2020,17,5,2020,17,0,Albania
16/05/2020,16,5,2020,18,0,Albania
15/05/2020,15,5,2020,18,0,Albania
14/05/2020,14,5,2020,4,0,Albania
13/05/2020,13,5,2020,4,0,Albania
12/05/2020,12,5,2020,4,0,Albania
11/05/2020,11,5,2020,12,0,Albania
10/05/2020,10,5,2020,6,0,Albania
09/05/2020,9,5,2020,8,0,Albania
08/05/2020,8,5,2020,10,0,Albania
07/05/2020,7,5,2020,12,0,Albania
06/05/2020,6,5,2020,17,0,Albania
05/05/2020,5,5,2020,8,0,Albania
04/05/2020,4,5,2020,6,0,Albania
03/05/2020,3,5,2020,7,0,Albania
02/05/2020,2,5,2020,9,0,Albania
01/05/2020,1,5,2020,7,0,Albania
30/04/2020,30,4,2020,16,1,Albania
29/04/2020,29,4,2020,14,2,Albania
28/04/2020,28,4,2020,10,0,Albania
27/04/2020,27,4,2020,14,1,Albania
26/04/2020,26,4,2020,34,0,Albania
25/04/2020,25,4,2020,15,0,Albania
24/04/2020,24,4,2020,29,0,Albania
23/04/2020,23,4,2020,25,1,Albania
22/04/2020,22,4,2020,25,0,Albania
21/04/2020,21,4,2020,22,0,Albania
20/04/2020,20,4,2020,14,0,Albania
19/04/2020,19,4,2020,9,0,Albania
18/04/2020,18,4,2020,21,0,Albania
17/04/2020,17,4,2020,24,1,Albania
16/04/2020,16,4,2020,19,1,Albania
